algorithm;number of elements;time spent
insertion_sort;100;0.000009
insertion_sort;1000;0.001064
insertion_sort;1000;0.000617
insertion_sort;1000;0.000632
insertion_sort;1000;0.000619
insertion_sort;1000;0.000723
insertion_sort;1000;0.000701
insertion_sort;1000;0.000635
insertion_sort;1000;0.000601
insertion_sort;1000;0.000618
insertion_sort;1000;0.001019
insertion_sort;1000;0.000653
insertion_sort;1000;0.000633
insertion_sort;1000;0.000988
insertion_sort;1000;0.000693
insertion_sort;1000;0.000721
insertion_sort;1000;0.000635
insertion_sort;1000;0.000709
insertion_sort;1000;0.000817
insertion_sort;1000;0.000789
insertion_sort;1000;0.000626
insertion_sort;10000;0.062591
insertion_sort;10000;0.065508
insertion_sort;10000;0.062669
insertion_sort;10000;0.063663
insertion_sort;10000;0.077251
insertion_sort;10000;0.073110
insertion_sort;10000;0.065525
insertion_sort;10000;0.072244
insertion_sort;10000;0.081306
insertion_sort;10000;0.069597
insertion_sort;10000;0.071026
insertion_sort;10000;0.074428
insertion_sort;10000;0.062083
insertion_sort;10000;0.068589
insertion_sort;10000;0.071545
insertion_sort;10000;0.068123
insertion_sort;10000;0.073171
insertion_sort;10000;0.071235
insertion_sort;10000;0.065987
insertion_sort;10000;0.062298
quick_sort;10;0.000001
quick_sort;10;0.000001
quick_sort;10;0.000001
quick_sort;10;0.000001
quick_sort;10;0.000001
quick_sort;10;0.000001
quick_sort;10;0.000001
quick_sort;10;0.000001
quick_sort;10;0.000001
quick_sort;10;0.000001
quick_sort;10;0.000001
quick_sort;10;0.000001
quick_sort;10;0.000001
quick_sort;10;0.000001
quick_sort;10;0.000001
quick_sort;10;0.000001
quick_sort;10;0.000001
quick_sort;10;0.000001
quick_sort;10;0.000001
quick_sort;10;0.000001
quick_sort;100;0.000005
quick_sort;100;0.000005
quick_sort;100;0.000005
quick_sort;100;0.000005
quick_sort;100;0.000005
quick_sort;100;0.000005
quick_sort;100;0.000005
quick_sort;100;0.000005
quick_sort;100;0.000005
quick_sort;100;0.000005
quick_sort;100;0.000005
quick_sort;100;0.000005
quick_sort;100;0.000005
quick_sort;100;0.000005
quick_sort;100;0.000005
quick_sort;100;0.000005
quick_sort;100;0.000005
quick_sort;100;0.000005
quick_sort;100;0.000005
quick_sort;100;0.000005
quick_sort;1000;0.000312
quick_sort;1000;0.000067
quick_sort;1000;0.000064
quick_sort;1000;0.000064
quick_sort;1000;0.000066
quick_sort;1000;0.000065
quick_sort;1000;0.000063
quick_sort;1000;0.000064
quick_sort;1000;0.000161
quick_sort;1000;0.000065
quick_sort;1000;0.000063
quick_sort;1000;0.000064
quick_sort;1000;0.000065
quick_sort;1000;0.000064
quick_sort;1000;0.000064
quick_sort;1000;0.000063
quick_sort;1000;0.000064
quick_sort;1000;0.000063
quick_sort;1000;0.000063
quick_sort;1000;0.000063
quick_sort;10000;0.000828
quick_sort;10000;0.001053
quick_sort;10000;0.000867
quick_sort;10000;0.000839
quick_sort;10000;0.000962
quick_sort;10000;0.001038
quick_sort;10000;0.000889
quick_sort;10000;0.001122
quick_sort;10000;0.000879
quick_sort;10000;0.000844
quick_sort;10000;0.001039
quick_sort;10000;0.000860
quick_sort;10000;0.000830
quick_sort;10000;0.000839
quick_sort;10000;0.000825
quick_sort;10000;0.000838
quick_sort;10000;0.000847
quick_sort;10000;0.000941
quick_sort;10000;0.000882
quick_sort;10000;0.001114
merge_sort;10;0.000001
merge_sort;10;0.000001
merge_sort;10;0.000001
merge_sort;10;0.000001
merge_sort;10;0.000001
merge_sort;10;0.000001
merge_sort;10;0.000001
merge_sort;10;0.000001
merge_sort;10;0.000001
merge_sort;10;0.000001
merge_sort;10;0.000001
merge_sort;10;0.000001
merge_sort;10;0.000001
merge_sort;10;0.000001
merge_sort;10;0.000001
merge_sort;10;0.000001
merge_sort;10;0.000001
merge_sort;10;0.000001
merge_sort;10;0.000001
merge_sort;10;0.000001
merge_sort;100;0.000007
merge_sort;100;0.000006
merge_sort;100;0.000006
merge_sort;100;0.000006
merge_sort;100;0.000006
merge_sort;100;0.000080
merge_sort;100;0.000018
merge_sort;100;0.000007
merge_sort;100;0.000006
merge_sort;100;0.000006
merge_sort;100;0.000006
merge_sort;100;0.000006
merge_sort;100;0.000006
merge_sort;100;0.000006
merge_sort;100;0.000006
merge_sort;100;0.000006
merge_sort;100;0.000006
merge_sort;100;0.000006
merge_sort;100;0.000006
merge_sort;100;0.000006
merge_sort;1000;0.000084
merge_sort;1000;0.000080
merge_sort;1000;0.000079
merge_sort;1000;0.000080
merge_sort;1000;0.000080
merge_sort;1000;0.000079
merge_sort;1000;0.000081
merge_sort;1000;0.000079
merge_sort;1000;0.000079
merge_sort;1000;0.000079
merge_sort;1000;0.000081
merge_sort;1000;0.000078
merge_sort;1000;0.000079
merge_sort;1000;0.000079
merge_sort;1000;0.000080
merge_sort;1000;0.000079
merge_sort;1000;0.000090
merge_sort;1000;0.000080
merge_sort;1000;0.000081
merge_sort;1000;0.000079
merge_sort;10000;0.001178
merge_sort;10000;0.001121
merge_sort;10000;0.001085
merge_sort;10000;0.001132
merge_sort;10000;0.001078
merge_sort;10000;0.001095
merge_sort;10000;0.001102
merge_sort;10000;0.001069
merge_sort;10000;0.001116
merge_sort;10000;0.001069
merge_sort;10000;0.001161
merge_sort;10000;0.001072
merge_sort;10000;0.001082
merge_sort;10000;0.001093
merge_sort;10000;0.001152
merge_sort;10000;0.001089
merge_sort;10000;0.001096
merge_sort;10000;0.001204
merge_sort;10000;0.001100
merge_sort;10000;0.001070
heap_sort;10;0.000001
heap_sort;10;0.000001
heap_sort;10;0.000001
heap_sort;10;0.000001
heap_sort;10;0.000001
heap_sort;10;0.000001
heap_sort;10;0.000001
heap_sort;10;0.000001
heap_sort;10;0.000001
heap_sort;10;0.000001
heap_sort;10;0.000001
heap_sort;10;0.000001
heap_sort;10;0.000001
heap_sort;10;0.000001
heap_sort;10;0.000001
heap_sort;10;0.000001
heap_sort;10;0.000001
heap_sort;10;0.000001
heap_sort;10;0.000001
heap_sort;10;0.000001
heap_sort;100;0.000008
heap_sort;100;0.000008
heap_sort;100;0.000008
heap_sort;100;0.000008
heap_sort;100;0.000008
heap_sort;100;0.000008
heap_sort;100;0.000008
heap_sort;100;0.000008
heap_sort;100;0.000008
heap_sort;100;0.000008
heap_sort;100;0.000008
heap_sort;100;0.000008
heap_sort;100;0.000008
heap_sort;100;0.000008
heap_sort;100;0.000008
heap_sort;100;0.000008
heap_sort;100;0.000008
heap_sort;100;0.000008
heap_sort;100;0.000008
heap_sort;100;0.000008
heap_sort;1000;0.000120
heap_sort;1000;0.000119
heap_sort;1000;0.000120
heap_sort;1000;0.000119
heap_sort;1000;0.000119
heap_sort;1000;0.000120
heap_sort;1000;0.000120
heap_sort;1000;0.000121
heap_sort;1000;0.000120
heap_sort;1000;0.000132
heap_sort;1000;0.000121
heap_sort;1000;0.000122
heap_sort;1000;0.000121
heap_sort;1000;0.000123
heap_sort;1000;0.000121
heap_sort;1000;0.000121
heap_sort;1000;0.000122
heap_sort;1000;0.000118
heap_sort;1000;0.000119
heap_sort;1000;0.000121
heap_sort;10000;0.002204
heap_sort;10000;0.001644
heap_sort;10000;0.002212
